row_id,_id,actual_price,average_rating,brand,category,crawled_at,discount,description,images,out_of_stock,pid,product_details,seller,selling_price,sub_category,title,url
10,002b976d-e1b3-5005-ad75-f8ac821380e9,"4,499",3.8,York,Clothing and Accessories,"02/10/2021, 20:11:56",76% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/f/s/v/l-1005combo9-yorker-original-imafczg3dpa5s3hb.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/f/s/v/m-1005combo9-yorker-original-imafczez7buydy6r.jpeg?q=70']",FALSE,TKPFCZ9ENWGMX23W,"[{'Style Code': '1005COMBO13'}, {'Closure': 'Drawstring, Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Checkered'}, {'Color': 'Blue, Black, Grey'}]",Shyam Enterprises,"1,074",Bottomwear,"Checkered Men Blue, Black, Grey Track Pants",https://www.flipkart.com/yorker-checkered-men-blue-black-grey-track-pants/p/itm3f7ece4206f59?pid=TKPFCZ9ENWGMX23W&lid=LSTTKPFCZ9ENWGMX23WXOLPHW&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9ENWGMX23W.SEARCH&ssid=utkd4t3gb40000001612415717799
11,1259d286-33b5-5ba8-9734-08a69cb30de6,"1,800",3.3,York,Clothing and Accessories,"02/10/2021, 20:11:57",49% off,,"['https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/4/p/x/s-fully-cotton-yorker-original-imafzfshqhudwhbg.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/w/d/8/s-fully-cotton-yorker-original-imafzfshx9umgknx.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/8/d/m/s-fully-cotton-yorker-original-imafzfshcybgwa9a.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/q/e/p/s-fully-cotton-yorker-original-imafzfsh7vk42dvw.jpeg?q=70']",FALSE,TKPFZFSHHACG3FHC,"[{'Style Code': 'fully cotton'}, {'Sales Package': '2'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Multicolor'}]",Shyam Enterprises,911,Bottomwear,Solid Men Multicolor Track Pants,https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itm6294ab9c88fa0?pid=TKPFZFSHHACG3FHC&lid=LSTTKPFZFSHHACG3FHC5MQRMV&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZFSHHACG3FHC.SEARCH&ssid=utkd4t3gb40000001612415717799
12,79ed89b0-1e6e-592a-af31-67c092b44f7d,"1,800",3.3,York,Clothing and Accessories,"02/10/2021, 20:11:57",49% off,,"['https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/6/2/m/xxl-fully-cotton-yorker-original-imafzfsh5zyrtjbm.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/n/a/k/xxl-fully-cotton-yorker-original-imafzfsh86cmkzyf.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/s/c/y/xxl-fully-cotton-yorker-original-imafzfshenwtpwdu.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/j/r/h/xxl-fully-cotton-yorker-original-imafzfshpvkg5n6w.jpeg?q=70']",FALSE,TKPFZFSHQPDRGZTM,"[{'Style Code': 'fully cotton'}, {'Sales Package': '2'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Multicolor'}]",Shyam Enterprises,911,Bottomwear,Solid Men Multicolor Track Pants,https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itm0a333fd121f87?pid=TKPFZFSHQPDRGZTM&lid=LSTTKPFZFSHQPDRGZTMAK2EYV&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZFSHQPDRGZTM.SEARCH&ssid=utkd4t3gb40000001612415717799
13,798fb84a-9a86-5fae-8916-122796bf5d55,"2,700",3.3,York,Clothing and Accessories,"02/10/2021, 20:11:58",61% off,,"['https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/r/h/p/xxl-cotton-pant-yorker-original-imafz4ytfgheaxbz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/1/r/f/l-cotton-pant-yorker-original-imafz4ytztezpyvc.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/a/3/m/l-cotton-pant-yorker-original-imafz4ytxhhfgpyd.jpeg?q=70']",FALSE,TKPFZ4YTRF3ZRTTH,"[{'Style Code': 'COTTON PANT'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Self Design'}, {'Color': 'Multicolor'}]",Shyam Enterprises,"1,042",Bottomwear,Self Design Men Multicolor Track Pants,https://www.flipkart.com/yorker-self-design-men-multicolor-track-pants/p/itmc19f96eb88a8b?pid=TKPFZ4YTRF3ZRTTH&lid=LSTTKPFZ4YTRF3ZRTTH7ZP6ME&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZ4YTRF3ZRTTH.SEARCH&ssid=utkd4t3gb40000001612415717799
14,f764aca2-e9c4-5f1a-bbe7-26504f533343,"2,700",3.3,York,Clothing and Accessories,"02/10/2021, 20:11:58",61% off,,"['https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/c/0/n/xl-cotton-pant-yorker-original-imafz4ythfyegzuw.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/t/d/f/xl-cotton-pant-yorker-original-imafz4ytnbgwv5jz.jpeg?q=70']",FALSE,TKPFZ4YTJZWBFYFZ,"[{'Style Code': 'COTTON PANT'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Self Design'}, {'Color': 'Multicolor'}]",Shyam Enterprises,"1,043",Bottomwear,Self Design Men Multicolor Track Pants,https://www.flipkart.com/yorker-self-design-men-multicolor-track-pants/p/itmf98011c4e2fee?pid=TKPFZ4YTJZWBFYFZ&lid=LSTTKPFZ4YTJZWBFYFZ5VXCEH&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZ4YTJZWBFYFZ.SEARCH&ssid=utkd4t3gb40000001612415717799
15,05301848-4de8-50f1-be17-156e81438358,"1,800",3.3,York,Clothing and Accessories,"02/10/2021, 20:11:59",48% off,,"['https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/r/q/m/m-fully-cotton-yorker-original-imafzfshpyny7ggc.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/7/g/p/m-solid-yorker-original-imafzfpynnyzvazz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/n/a/f/m-fully-cotton-yorker-original-imafzfshga6vyz3g.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/3/4/w/m-fully-cotton-yorker-original-imafzfshtgbpha2g.jpeg?q=70']",FALSE,TKPFZFSH3F9ZA7C6,"[{'Style Code': 'fully cotton'}, {'Sales Package': '2'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Multicolor'}]",Shyam Enterprises,921,Bottomwear,Solid Men Multicolor Track Pants,https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itmc7b0af9bdd777?pid=TKPFZFSH3F9ZA7C6&lid=LSTTKPFZFSH3F9ZA7C6KDD9DD&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZFSH3F9ZA7C6.SEARCH&ssid=utkd4t3gb40000001612415717799
16,6b303174-c28d-56a1-9753-8155dbe0b7dd,"2,700",3.3,York,Clothing and Accessories,"02/10/2021, 20:11:59",61% off,,"['https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/r/1/q/l-cotton-pant-yorker-original-imafz4ytabbddsja.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/2/7/t/xxl-cotton-pant-yorker-original-imafz4ytpcphyqqw.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/t/k/k/l-cotton-pant-yorker-original-imafz4ytd2frgucb.jpeg?q=70']",FALSE,TKPFZ4YT7ZNYXG27,"[{'Style Code': 'COTTON PANT'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Self Design'}, {'Color': 'Multicolor'}]",Shyam Enterprises,"1,046",Bottomwear,Self Design Men Multicolor Track Pants,https://www.flipkart.com/yorker-self-design-men-multicolor-track-pants/p/itm0b0f95e1d841a?pid=TKPFZ4YT7ZNYXG27&lid=LSTTKPFZ4YT7ZNYXG27N3GGQ6&marketplace=FLIPKART&srno=b_1_17&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZ4YT7ZNYXG27.SEARCH&ssid=utkd4t3gb40000001612415717799
17,420f2354-2c8e-55b5-a470-db14b60eea80,"2,700",3.3,York,Clothing and Accessories,"02/10/2021, 20:12:00",61% off,,"['https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/v/t/q/l-cotton-pant-yorker-original-imafz4ytedyhq2a6.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/v/j/w/xs-cotton-pant-yorker-original-imafz4ytnfuujzfq.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/j/l/7/xl-cotton-pant-yorker-original-imafz4ytpcpxyacu.jpeg?q=70']",FALSE,TKPFZ4YTGNZJDZDU,"[{'Style Code': 'COTTON PANT'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Self Design'}, {'Color': 'Multicolor'}]",Shyam Enterprises,"1,044",Bottomwear,Self Design Men Multicolor Track Pants,https://www.flipkart.com/yorker-self-design-men-multicolor-track-pants/p/itmfbe08d96329c9?pid=TKPFZ4YTGNZJDZDU&lid=LSTTKPFZ4YTGNZJDZDUX3RSU3&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZ4YTGNZJDZDU.SEARCH&ssid=utkd4t3gb40000001612415717799
18,c8f15cb0-3465-5cbf-b05a-f36bfff5fe34,"2,700",3.3,York,Clothing and Accessories,"02/10/2021, 20:12:00",61% off,,"['https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/v/q/5/xl-cotton-pant-yorker-original-imafz4ytqan7fczs.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/w/w/6/xs-cotton-pant-yorker-original-imafz4ytxqhcfkf2.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/v/j/w/xs-cotton-pant-yorker-original-imafz4ytnfuujzfq.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/b/o/p/m-cotton-pant-yorker-original-imafz4ytarfztw3g.jpeg?q=70']",FALSE,TKPFZ4YTX94CY9JX,"[{'Style Code': 'COTTON PANT'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Self Design'}, {'Color': 'Multicolor'}]",Shyam Enterprises,"1,039",Bottomwear,Self Design Men Multicolor Track Pants,https://www.flipkart.com/yorker-self-design-men-multicolor-track-pants/p/itm25b03958aa8f2?pid=TKPFZ4YTX94CY9JX&lid=LSTTKPFZ4YTX94CY9JXD681JV&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZ4YTX94CY9JX.SEARCH&ssid=utkd4t3gb40000001612415717799
19,2cc3eb4c-42b5-5bc5-9eb6-0f438f45dd58,"2,999",3.9,York,Clothing and Accessories,"02/10/2021, 20:12:01",69% off,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/8/k/h/xxl-1005combo5-yorker-original-imafczgcyerp9d4u.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/f/h/e/l-1005navi-yorker-original-imafczg3qwg7xhze.jpeg?q=70']",FALSE,TKPFCZ9EHCNAPKPU,"[{'Style Code': '1005COMBO5'}, {'Closure': 'Elastic'}, {'Pockets': 'Side Pockets'}, {'Fabric': 'Cotton Blend'}, {'Pattern': 'Solid'}, {'Color': 'Multicolor'}]",Shyam Enterprises,921,Bottomwear,Solid Men Multicolor Track Pants,https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itm6ecdb5c8a6a80?pid=TKPFCZ9EHCNAPKPU&lid=LSTTKPFCZ9EHCNAPKPUQEOKAE&marketplace=FLIPKART&srno=b_1_20&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EHCNAPKPU.SEARCH&ssid=utkd4t3gb40000001612415717799
